year,start_date,end_date
1950,1950-01-01,1950-12-31
1951,1951-01-01,1951-12-31
1952,1952-01-01,1952-12-31
1953,1953-01-01,1953-12-31
1954,1954-01-01,1954-12-31
1955,1955-01-01,1955-12-31
1956,1956-01-01,1956-12-31
1957,1957-01-01,1957-12-31
1958,1958-01-01,1958-12-31
1959,1959-01-01,1959-12-31
1960,1960-01-01,1960-12-31
1961,1961-01-01,1961-12-31
1962,1962-01-01,1962-12-31
1963,1963-01-01,1963-12-31
1964,1964-01-01,1964-12-31
1965,1965-01-01,1965-12-31
1966,1966-01-01,1966-12-31
1967,1967-01-01,1967-12-31
1968,1968-01-01,1968-12-31
1969,1969-01-01,1969-12-31
1970,1970-01-01,1970-12-31
1971,1971-01-01,1971-12-31
1972,1972-01-01,1972-12-31
1973,1973-01-01,1973-12-31
1974,1974-01-01,1974-12-31
1975,1975-01-01,1975-12-31
1976,1976-01-01,1976-12-31
1977,1977-01-01,1977-12-31
1978,1978-01-01,1978-12-31
1979,1979-01-01,1979-12-31
1980,1980-01-01,1980-12-31
1981,1981-01-01,1981-12-31
1982,1982-01-01,1982-12-31
1983,1983-01-01,1983-12-31
1984,1984-01-01,1984-12-31
1985,1985-01-01,1985-12-31
1986,1986-01-01,1986-12-31
1987,1987-01-01,1987-12-31
1988,1988-01-01,1988-12-31
1989,1989-01-01,1989-12-31
1990,1990-01-01,1990-12-31
1991,1991-01-01,1991-12-31
1992,1992-01-01,1992-12-31
1993,1993-01-01,1993-12-31
1994,1994-01-01,1994-12-31
1995,1995-01-01,1995-12-31
1996,1996-01-01,1996-12-31
1997,1997-01-01,1997-12-31
1998,1998-01-01,1998-12-31
1999,1999-01-01,1999-12-31
2000,2000-01-01,2000-12-31
2001,2001-01-01,2001-12-31
2002,2002-01-01,2002-12-31
2003,2003-01-01,2003-12-31
2004,2004-01-01,2004-12-31
2005,2005-01-01,2005-12-31
2006,2006-01-01,2006-12-31
2007,2007-01-01,2007-12-31
2008,2008-01-01,2008-12-31
2009,2009-01-01,2009-12-31
2010,2010-01-01,2010-12-31
2011,2011-01-01,2011-12-31
2012,2012-01-01,2012-12-31
2013,2013-01-01,2013-12-31
2014,2014-01-01,2014-12-31
2015,2015-01-01,2015-12-31
2016,2016-01-01,2016-12-31
2017,2017-01-01,2017-12-31
2018,2018-01-01,2018-12-31
2019,2019-01-01,2019-12-31
2020,2020-01-01,2020-12-31
2021,2021-01-01,2021-12-31
2022,2022-01-01,2022-12-31
2023,2023-01-01,2023-12-31
2024,2024-01-01,2024-12-31
